id,X_cor,Y_cor,Elevation,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
157,1284442.786,724714.7306,1213.0, , ,1,1,1,1,1,1,1,1,1,1,1, 
158,1284461.026,722910.2362,1219.0, , ,1,1, ,1,1,1,1,1,1,1,1, 
159,1286824.863,722594.9772,1211.0, , ,1,1, ,1,1,1,1,1,1,1,1, 
160,1283345.858,720590.567,1166.0, , ,1,1, ,1,1, ,1,1, ,1,1, 
161,1266503.969,716444.2077,1216.0, , , , ,1,1, ,1,1, , , ,1, 
162,1274935.66,716936.8877,1198.0, , , , ,1,1, ,1, , , ,1,1, 
163,1273567.432,694848.7924,1339.0, , , , , , , , , , , ,1,1, 
164,1270262.283,653036.2869,1102.0, , , , ,1, ,1,1, , , , ,1, 
165,1325800.501,622425.6808,976.0, , , , , , ,1, , , , , ,1, 
166,1257076.044,814843.4828,898.0, , , , ,1,1,1,1,1,1,1,1, , 
167,1266573.855,806029.0963,885.0, , , , , , ,1,1,1,1,1,1, , 
168,1258265.527,810742.2045,818.0, , ,1, ,1,1,1,1,1,1,1,1, , 
169,1263361.532,804028.8567,963.0, , ,1, ,1,1,1,1,1,1,1,1, , 
170,1256140.133,808097.9066,928.0, , ,1, ,1,1,1,1,1,1,1,1, , 
171,1268896.029,799815.9998,878.0, , , ,1,1,1, ,1,1,1,1,1, , 
172,1267468.245,813364.538,780.0, , , , ,1, , , ,1,1, ,1, , 
173,1267865.568,815945.6739,934.0, , , , , , , , , , , ,1, , 
174,1253596.569,798957.4222,495.0, , , ,1,1,1,1,1,1,1,1,1, , 
175,1253142.628,800594.134,615.0, , , , , ,1,1,1, ,1,1,1, , 
176,1250745.76,807227.3026,817.0, , , , ,1,1,1,1,1, ,1,1, , 
177,1240166.221,787889.0054,1054.0, , , , , , , , , , , ,1, , 
178,1230511.79,800001.3925,1233.0, , , , , , ,1, ,1, , ,1, , 
179,1230835.074,794134.0117,1204.0, , , , , , , ,1,1, , ,1, , 
180,1224666.263,780759.3395,1269.0, , , ,1,1,1, , , ,1, ,1, , 
181,1223832.957,779227.3909,1293.0, , , ,1,1,1, , , ,1, ,1, , 
182,1230348.737,788837.1244,1218.0, , , , ,1,1,1, , ,1, ,1, , 
183,1237548.235,782757.6267,1009.0, , , ,1,1,1,1, , ,1, ,1, , 
184,1236145.787,790290.9411,1081.0, , , , ,1,1,1, , ,1, ,1, , 
185,1231564.252,789769.0431,1230.0, , , , ,1,1,1,1,1,1, ,1, , 
186,1232490.406,790340.0461,1229.0, , , , ,1,1,1,1, ,1,1,1, , 
187,1223535.839,777170.704,1225.0, , , ,1,1,1,1, ,1,1, ,1, , 
188,1261455.618,803391.8441,920.0, , ,1,1, ,1,1,1,1,1,1,1, , 
189,1253618.167,771494.1207,434.0, , , ,1, , ,1, , , , ,1, , 
190,1290153.04,776299.6385,835.0, , ,1,1, ,1,1,1, , , ,1, , 
191,1282752.398,782927.0697,920.0, , , ,1, ,1,1,1,1, ,1,1, , 
192,1266977.417,793837.5484,920.0, , , ,1, ,1,1,1,1,1,1,1, , 
193,1276941.893,785658.2676,930.0, , , ,1, ,1,1,1,1,1,1,1, , 
194,1274003.13,787397.5423,951.0, , , ,1, ,1,1,1,1,1,1,1, , 
195,1279595.44,785518.7726,816.0, , , ,1, ,1,1,1,1,1,1,1, , 
196,1262161.11,788646.09,917.0, , ,1,1, , ,1,1,1,1,1,1, , 
197,1256487.751,771899.9536,970.0, , ,1,1, , ,1,1,1,1,1,1, , 
198,1259042.574,789016.2865,929.0, , ,1,1,1, ,1,1,1,1,1,1, , 
199,1259947.521,786109.8782,941.0, , ,1,1,1, ,1,1,1,1,1,1, , 
200,1260838.195,771773.7566,1167.0, ,1, ,1, ,1,1,1,1,1,1,1, , 
201,1270489.109,783921.7182,917.0, , ,1,1, ,1,1,1,1,1,1,1, , 
202,1257237.069,774886.5617,712.0, , ,1,1, ,1,1,1,1,1,1,1, , 
203,1264628.772,798648.5234,731.0, , , , ,1,1,1, , ,1,1,1, , 
204,1279332.393,796290.9891,797.0, , , , , , ,1, , , , ,1, , 
205,1280790.601,798550.5403,804.0, , , ,1, , ,1,1,1, , ,1, , 
206,1281691.822,791866.0042,809.0, , , ,1, ,1,1,1,1,1,1,1, , 
207,1201691.763,773786.7545,846.0, , , , ,1,1,1,1,1,1, ,1, , 
208,1200726.068,775776.7591,955.0, , , , ,1,1,1,1, ,1, ,1, , 
209,1198148.398,784812.6014,1255.0, , , , , , , ,1, , , ,1, , 
210,1202624.627,784491.4074,1319.0, , , , , , , , , , , ,1, , 
211,1192807.658,791287.0476,1048.0, , , , , , , , , , , ,1, , 
212,1180715.707,789933.0925,910.0, , , , ,1, ,1,1,1,1, ,1, , 
213,1167887.57,790533.647,912.0, , , , , ,1,1,1,1,1, ,1, , 
214,1231886.017,788476.4023,1197.0, , , , , ,1,1,1,1,1, ,1, , 
215,1229562.231,785072.2173,1044.0, , , , , ,1,1, , ,1, ,1, , 
216,1219222.121,780483.2976,1252.0, , , , ,1, , , , , , ,1, , 
217,1182233.42,776592.888,1064.0, , , , , , , , , , , ,1, , 
218,1175052.486,776195.7853,1071.0, , , , , , , , , , , ,1, , 
219,1187650.472,780821.7916,894.0, , , , ,1,1,1,1,1,1, ,1, , 
220,1185009.68,781346.1474,941.0, , , , , ,1,1, , ,1, ,1, , 
221,1184892.154,779599.5749,989.0, , , , , ,1,1,1, ,1, ,1, , 
222,1270732.825,776291.9469,966.0, , ,1,1, ,1,1,1, ,1,1,1, , 
223,1268493.624,778841.8331,965.0, , ,1,1, ,1,1,1, ,1,1,1, , 
224,1272781.865,774097.253,939.0, , ,1,1, ,1,1,1, ,1,1,1, , 
225,1277728.768,771787.6203,941.0, , ,1,1, ,1,1,1, ,1,1,1, , 
226,1279118.452,771665.4169,947.0, , ,1,1, ,1,1,1, , ,1,1, , 
227,1278174.237,772317.5401,945.0, , ,1,1, ,1,1,1, , ,1,1, , 
228,1278855.709,773365.1577,921.0, , ,1,1, ,1,1,1, , ,1,1, , 
229,1274418.046,777039.7389,914.0, , , ,1, ,1,1,1, ,1, ,1, , 
230,1211690.369,777244.0445,1259.0, , , , , ,1, ,1, , , ,1, , 
231,1211372.657,780028.3253,1269.0, , , , , , , , ,1, , ,1, , 
232,1210519.556,777243.0615,1236.0, , , , , ,1, ,1,1,1, ,1, , 
233,1236544.322,772423.6759,1049.0, , , , , , , , , ,1, ,1, , 
234,1232419.29,776979.5632,1140.0, , ,1, ,1,1,1,1,1,1, ,1, , 
235,1234062.131,775324.0193,1217.0, , ,1,1,1,1,1,1,1,1, ,1, , 
236,1231785.909,778550.7831,1132.0, , ,1,1,1,1,1,1,1,1, ,1, , 
237,1230592.362,776322.0281,1228.0, , ,1,1,1,1,1,1,1,1, ,1, , 
238,1228993.105,773209.3123,1156.0, , , , , ,1, , , ,1, ,1, , 
239,1229123.401,772256.4772,1205.0, , ,1, ,1,1,1,1,1,1, ,1, , 
240,1243187.156,774442.9461,928.0, , ,1, ,1,1,1,1, ,1, ,1, , 
241,1281824.033,765114.3445,1049.0, , ,1,1, , , , , , , ,1, , 
242,1266414.962,765601.5686,924.0, ,1,1,1, , , , ,1, , ,1, , 
243,1273774.245,764754.0506,1004.0, , ,1,1, , , , ,1,1, ,1, , 
244,1214186.771,769451.5427,950.0, , , , ,1,1,1,1, ,1, ,1, , 
245,1202550.387,764217.8463,1052.0, , , , , ,1, ,1,1,1, ,1, , 
246,1202456.254,761113.3501,1244.0, , , , , , ,1, , ,1, ,1, , 
247,1229676.691,764364.8812,583.0, , , , ,1,1, , , , , ,1, , 
248,1239907.8,738140.863,985.0, , , , , ,1, , , , , ,1, , 
249,1239618.844,758051.2992,904.0, , , , ,1, ,1, , , , ,1, , 
250,1241415.252,747298.7957,1295.0, , , , ,1, , , , ,1, ,1, , 
251,1236494.787,761526.331,731.0, , , ,1,1,1,1,1,1,1, ,1, , 
252,1235957.81,743776.6011,1258.0, , , , ,1, ,1,1,1,1, ,1, , 
253,1246010.311,750285.1694,1240.0, , , ,1,1,1, , , ,1, ,1, , 
254,1242632.366,745236.183,1212.0, , , , ,1, , ,1, , , ,1, , 
255,1293197.219,739929.5283,1068.0, , ,1, ,1, , , , , , ,1, , 
256,1289216.995,745698.4287,1091.0, , ,1, , , , , ,1, , ,1, , 
257,1283072.005,748387.2346,1089.0, , , , , , , , ,1, , ,1, , 
258,1286261.473,746675.8249,1092.0, , ,1, , , , , ,1,1, ,1, , 
259,1281578.772,739119.6246,1094.0, ,1,1,1, , , , ,1,1, ,1, , 
260,1276964.616,736029.614,1145.0, ,1,1,1, , , , , , , ,1, , 
261,1248860.123,725669.8046,920.0, , , ,1,1, , ,1, , , ,1, , 
262,1341392.607,708679.2859,938.0, , , ,1, , , , , , , ,1, , 
263,1340860.657,708361.2342,1001.0, , , ,1, , , , , , , ,1, , 
264,1343999.054,700985.4159,1168.0, , , ,1, , , , , , , ,1, , 
265,1348230.63,695188.8917,1090.0, , , , , , , , , , , ,1, , 
266,1346200.298,696560.183,1074.0, , , , , , , ,1,1, , ,1, , 
267,1344290.195,695550.5263,1078.0, , , , , , , ,1,1, , ,1, , 
268,1308477.521,685491.7775,918.0, , , , ,1, ,1,1,1, , ,1, , 
269,1358790.064,670496.497,768.0, , , , , , , , , , , ,1, , 
270,1317319.449,635719.8278,1521.0, , , , , , ,1, ,1,1,1, , , 
271,1297657.659,635984.4217,1301.0, , , , , , , , , , ,1, , , 
272,1324136.0,623881.7716,1331.0, , , , , , ,1,1, , ,1, , , 
273,1318436.136,617318.0268,1111.0, , , , , , , , , ,1,1, , , 
274,1240589.02,798856.488,990.0, , , , , , ,1,1, ,1, , , , 
275,1222528.582,777345.2324,1220.0, , , ,1,1,1,1, , ,1, , , , 
276,1238455.705,780534.3136,934.0, , , , , , , , , ,1, , , , 
277,1229589.821,786118.7844,1038.0, , , , , , , , , ,1, , , , 
278,1263954.099,818487.5811,916.0, , , , , , , , , ,1, , , , 
279,1173062.708,786713.7724,914.0, , , , , ,1,1,1, ,1, , , , 
280,1176910.23,789357.0508,785.0, , , , , ,1,1,1, ,1, , , , 
281,1177381.763,787370.0499,944.0, , , , ,1,1,1,1,1,1, , , , 
282,1176815.929,782455.6451,1057.0, , , , , , , , , ,1, , , , 
283,1180430.34,787832.4536,947.0, , , , ,1,1,1,1,1,1, , , , 
284,1187455.89,773809.7081,1043.0, , , , , ,1,1,1, ,1, , , , 
285,1237066.71,767554.4633,945.0, , ,1, ,1, ,1, , ,1, , , , 
286,1238592.027,771145.2234,954.0, , , , , , , , , ,1, , , , 
287,1205563.093,772439.592,771.0, , , , ,1,1,1, , ,1, , , , 
288,1183960.923,770750.0779,1096.0, , , , , ,1, , , ,1, , , , 
289,1194796.828,767473.1995,1090.0, , , , , ,1, ,1, ,1, , , , 
290,1190620.221,771080.5964,1073.0, , , , , ,1,1,1,1,1, , , , 
291,1193795.916,772696.8795,780.0, , , , , ,1,1,1,1,1, , , , 
292,1199090.845,768130.0176,975.0, , , , ,1,1,1,1,1,1, , , , 
293,1195558.918,774894.9827,700.0, , , , , , , , , ,1, , , , 
294,1305073.171,770443.61,917.0, ,1,1,1,1, ,1, , ,1, , , , 
295,1305172.76,771037.402,931.0, , ,1,1, , , , , ,1, , , , 
296,1218510.681,761035.3182,927.0, , , , ,1,1,1,1,1,1, , , , 
297,1189080.762,762314.2682,1161.0, , , , , , , , , ,1, , , , 
298,1274801.012,755784.5053,1060.0, , , ,1, , , , , ,1, , , , 
299,1298768.585,760299.9962,998.0, , ,1,1, , , ,1, ,1, , , , 
300,1335158.041,745351.2369,1084.0, , , , , , , , ,1,1, , , , 
301,1334292.091,744345.4205,1083.0, , , , , , , ,1,1,1, , , , 
302,1322687.946,759388.1908,941.0, ,1,1,1,1, ,1, ,1,1, , , , 
303,1288519.976,754164.1402,1087.0, , ,1, , , , , , ,1, , , , 
304,1258036.249,718533.2873,819.0, , , , , , , , , ,1, , , , 
305,1338731.359,696646.6675,1079.0, , , ,1, ,1, ,1,1,1, , , , 
306,1335200.444,697510.8229,1081.0, , , ,1, ,1,1,1,1,1, , , , 
307,1319657.496,685965.886,1110.0, , ,1,1, ,1,1,1,1,1, , , , 
308,1318560.319,674991.5089,675.0, , , , ,1, ,1, , ,1, , , , 
309,1313505.228,667674.6058,1236.0, , ,1, , , ,1,1, ,1, , , , 
310,1318195.667,663800.8499,755.0, , , , , , , , , ,1, , , , 
311,1339719.504,654789.003,876.0, , , , , , , , , ,1, , , , 
312,1329553.727,659877.471,1221.0, , , , , , , , , ,1, , , , 
313,1325384.04,647181.4424,1065.0, , , , , , ,1,1,1,1, , , , 
314,1301277.36,639499.4193,1585.0, , , , , , , , , ,1, , , , 
315,1321080.891,619428.2889,1432.0, , , , , , ,1, , ,1, , , , 
316,1264139.938,693850.9295,1374.0, , , , , , , , ,1, , , , , 
317,1263041.302,694816.662,1262.0, , , , , ,1, , ,1, , , , , 
318,1335182.281,689333.0119,1072.0, , , ,1, ,1,1,1,1, , , , , 
319,1280757.475,678258.8673,1195.0, , , , , , ,1,1,1, , , , , 
320,1257560.044,672943.696,1573.0, , , , , , , , ,1, , , , , 
321,1351442.009,664027.6087,722.0, , , , , , , , ,1, , , , , 
322,1365377.707,656965.5384,928.0, , , , , , , , ,1, , , , , 
323,1306271.373,653575.8256,873.0, , , , , , , , ,1, , , , , 
324,1319968.304,654070.7735,1213.0, , , , , , ,1, ,1, , , , , 
325,1326468.312,651678.9982,1160.0, , , , , , ,1,1,1, , , , , 
326,1340738.48,646829.3402,1058.0, , , , , , , , ,1, , , , , 
327,1323820.795,625433.3062,1140.0, , , , , , ,1,1,1, , , , , 
